year,factor_macro_gate_mcap_net_total_return,kospi_buy_and_hold_net_total_return,cash_net_total_return
2010,0.0,0.3293489579737485,0.0
2011,0.0,0.004079681302652238,0.0
2012,0.0,0.18731018909741426,0.0
2013,0.0,0.06125736750042954,0.0
2014,0.0,0.05769800682302639,0.0
2015,0.0,0.16501292442133764,0.0
2017,0.0,0.31675953872996554,0.0
2018,0.0,-0.08401784948302582,0.0
2019,0.027749348305260213,0.17019485930094325,0.0
2020,0.2461360848272729,0.5251287429311848,0.0
2021,-0.03531652054910206,0.13170240063376726,0.0
2022,0.0,-0.18442405395793493,0.0
2023,-0.01772939719711597,0.3279894204214897,0.0
2024,0.01039443637671722,0.034981455283805474,0.0
2025,0.6885511907579551,1.047004780803555,0.0
2026,0.0,0.7344109727369705,0.0
