quarter,d013_on,e007_on,d013_count,e007_count,overlap_count,union_count,jaccard,e007_same_as_d013_ratio,d013_on_e007_off,d013_off_e007_on,d013_tickers,e007_tickers,overlap_tickers
2017Q2,True,True,5,5,2,8,0.25,0.4,False,False,"000660,005380,005930,015760,035420","005930,017670,035420,051910,090430","005930,035420"
2017Q3,True,True,5,5,1,9,0.1111111111111111,0.2,False,False,"000660,005380,005930,028260,035420","005490,005930,010130,032830,105560",005930
2018Q1,True,True,5,5,1,9,0.1111111111111111,0.2,False,False,"000660,005380,005490,005930,035420","004020,005490,008930,028260,207940",005490
2019Q3,True,True,5,5,3,7,0.42857142857142855,0.6,False,False,"000660,005380,005930,051910,068270","000210,000660,000720,005380,005930","000660,005380,005930"
2019Q4,True,True,5,5,2,8,0.25,0.4,False,False,"000660,005380,005930,012330,035420","000660,005930,018880,128940,207940","000660,005930"
2020Q1,True,True,5,5,3,7,0.42857142857142855,0.6,False,False,"000660,005380,005930,035420,207940","000660,005930,028260,128940,207940","000660,005930,207940"
2020Q2,True,True,5,5,1,9,0.1111111111111111,0.2,False,False,"000660,005930,035420,068270,207940","003490,017800,033780,128940,207940",207940
2020Q3,True,True,5,5,1,9,0.1111111111111111,0.2,False,False,"000660,005930,035420,068270,207940","003000,017800,051910,086280,207940",207940
2020Q4,True,True,5,5,3,7,0.42857142857142855,0.6,False,False,"000660,005930,035420,051910,207940","000120,000660,005930,034020,051910","000660,005930,051910"
2021Q1,True,True,5,5,1,9,0.1111111111111111,0.2,False,False,"000660,005930,051910,068270,207940","008770,028260,051900,051910,086280",051910
2021Q2,True,True,5,5,0,10,0.0,0.0,False,False,"000660,005930,035420,051910,207940","004020,005490,011200,068270,105560",
2021Q3,True,True,5,5,1,9,0.1111111111111111,0.2,False,False,"000660,005930,035420,035720,051910","003490,011200,028260,051900,051910",051910
2021Q4,True,True,5,5,1,9,0.1111111111111111,0.2,False,False,"000660,005930,035420,051910,207940","028260,051910,068270,096770,323410",051910
2022Q1,True,True,5,5,2,8,0.25,0.4,False,False,"000660,005930,035420,035720,207940","000660,000720,005930,006360,011200","000660,005930"
2023Q4,True,True,5,5,0,10,0.0,0.0,False,False,"000660,005490,005930,207940,373220","003670,005380,033780,105560,271560",
2024Q1,True,True,5,5,1,9,0.1111111111111111,0.2,False,False,"000660,005380,005930,207940,373220","000270,005380,011200,035420,329180",005380
2024Q2,True,True,5,5,4,6,0.6666666666666666,0.8,False,False,"000660,005380,005930,207940,373220","000660,005380,005930,012450,207940","000660,005380,005930,207940"
2024Q4,True,True,5,5,1,9,0.1111111111111111,0.2,False,False,"000660,005380,005930,207940,373220","035420,051910,259960,329180,373220",373220
2025Q3,True,True,5,5,1,9,0.1111111111111111,0.2,False,False,"000660,005930,034020,207940,373220","000150,000720,005930,033780,051600",005930
2025Q4,True,True,5,5,4,6,0.6666666666666666,0.8,False,False,"000660,005930,012450,207940,373220","000660,005930,012450,207940,329180","000660,005930,012450,207940"
2026Q1,True,True,5,5,3,7,0.42857142857142855,0.6,False,False,"000660,005380,005930,207940,373220","000660,005930,028260,047050,207940","000660,005930,207940"
2026Q2,True,True,5,5,1,9,0.1111111111111111,0.2,False,False,"000660,005380,005930,207940,373220","000720,034020,047040,051910,373220",373220
