year,month,event_count,intraday_count,after_close_count,missing_time_count
2018,1,167,0,167,0
2018,2,516,0,516,0
2018,3,223,0,223,0
2018,4,118,0,118,0
2018,5,85,0,85,0
2018,6,127,0,127,0
2018,7,110,0,110,0
2018,8,109,0,109,0
2018,9,83,0,83,0
2018,10,112,0,112,0
2018,11,124,0,124,0
2018,12,141,0,141,0
2019,1,182,0,182,0
2019,2,533,0,533,0
2019,3,237,0,237,0
2019,4,90,0,90,0
2019,5,107,0,107,0
2019,6,115,0,115,0
2019,7,126,0,126,0
2019,8,88,0,88,0
2019,9,75,0,75,0
2019,10,144,0,144,0
2019,11,113,0,113,0
2019,12,191,0,191,0
2020,1,152,0,152,0
2020,2,557,0,557,0
2020,3,385,0,385,0
2020,4,131,0,131,0
2020,5,82,0,82,0
2020,6,138,0,138,0
2020,7,128,0,128,0
2020,8,103,0,103,0
2020,9,135,0,135,0
2020,10,115,0,115,0
2020,11,107,0,107,0
2020,12,167,0,167,0
2021,1,133,0,133,0
2021,2,540,0,540,0
2021,3,357,0,357,0
2021,4,125,0,125,0
2021,5,104,0,104,0
2021,6,181,0,181,0
2021,7,193,0,193,0
2021,8,141,0,141,0
2021,9,132,0,132,0
2021,10,109,0,109,0
2021,11,150,0,150,0
2021,12,231,0,231,0
2022,1,163,0,163,0
2022,2,581,0,581,0
2022,3,379,0,379,0
2022,4,140,0,140,0
2022,5,120,0,120,0
2022,6,187,0,187,0
2022,7,214,0,214,0
2022,8,149,0,149,0
2022,9,151,0,151,0
2022,10,129,0,129,0
2022,11,174,0,174,0
2022,12,221,0,221,0
2023,1,127,0,127,0
2023,2,592,0,592,0
2023,3,372,0,372,0
2023,4,141,0,141,0
2023,5,139,0,139,0
2023,6,168,0,168,0
2023,7,201,0,201,0
2023,8,143,0,143,0
2023,9,139,0,139,0
2023,10,148,0,148,0
2023,11,159,0,159,0
2023,12,235,0,235,0
2024,1,200,0,200,0
2024,2,712,0,712,0
2024,3,313,0,313,0
2024,4,148,0,148,0
2024,5,157,0,157,0
2024,6,178,0,178,0
2024,7,258,0,258,0
2024,8,202,0,202,0
2024,9,172,0,172,0
2024,10,190,0,190,0
2024,11,211,0,211,0
2024,12,341,0,341,0
2025,1,165,0,165,0
2025,2,1022,0,1022,0
2025,3,413,0,413,0
2025,4,228,0,228,0
2025,5,190,0,190,0
2025,6,147,0,147,0
2025,7,315,0,315,0
2025,8,273,0,273,0
2025,9,212,0,212,0
2025,10,193,0,193,0
2025,11,237,0,237,0
2025,12,409,0,409,0
2026,1,268,0,268,0
2026,2,1098,0,1098,0
2026,3,716,0,716,0
2026,4,329,0,329,0
2026,5,7,0,7,0
