capital_krw,entry_exit_extra_slippage_bps,participation_limit,mean_net_baseline_fill,mean_net_50pct_fill_vwap,mean_net_30pct_fill_vwap,capacity_pass_rate,max_participation_rate,panic_day_spread_widening_bps,max_daily_signal_count
100000000,0,0.01,0.10016527582786788,0.05008263791393394,0.03004958274836036,0.7034525277435265,0.10347789465742685,0,12
100000000,0,0.03,0.10016527582786788,0.05008263791393394,0.03004958274836036,0.9556103575832305,0.10347789465742685,0,12
100000000,0,0.05,0.10016527582786788,0.05008263791393394,0.03004958274836036,0.9882860665844636,0.10347789465742685,0,12
100000000,10,0.01,0.09816527582786787,0.049082637913933934,0.029449582748360365,0.7034525277435265,0.10347789465742685,20,12
100000000,10,0.03,0.09816527582786787,0.049082637913933934,0.029449582748360365,0.9556103575832305,0.10347789465742685,20,12
100000000,10,0.05,0.09816527582786787,0.049082637913933934,0.029449582748360365,0.9882860665844636,0.10347789465742685,20,12
100000000,30,0.01,0.09416527582786788,0.04708263791393394,0.028249582748360355,0.7034525277435265,0.10347789465742685,60,12
100000000,30,0.03,0.09416527582786788,0.04708263791393394,0.028249582748360355,0.9556103575832305,0.10347789465742685,60,12
100000000,30,0.05,0.09416527582786788,0.04708263791393394,0.028249582748360355,0.9882860665844636,0.10347789465742685,60,12
100000000,50,0.01,0.09016527582786789,0.045082637913933944,0.027049582748360366,0.7034525277435265,0.10347789465742685,100,12
100000000,50,0.03,0.09016527582786789,0.045082637913933944,0.027049582748360366,0.9556103575832305,0.10347789465742685,100,12
100000000,50,0.05,0.09016527582786789,0.045082637913933944,0.027049582748360366,0.9882860665844636,0.10347789465742685,100,12
100000000,100,0.01,0.0801652758278679,0.04008263791393395,0.024049582748360363,0.7034525277435265,0.10347789465742685,200,12
100000000,100,0.03,0.0801652758278679,0.04008263791393395,0.024049582748360363,0.9556103575832305,0.10347789465742685,200,12
100000000,100,0.05,0.0801652758278679,0.04008263791393395,0.024049582748360363,0.9882860665844636,0.10347789465742685,200,12
1000000000,0,0.01,0.10016527582786788,0.05008263791393394,0.03004958274836036,0.1029593094944513,1.0347789465742685,0,12
1000000000,0,0.03,0.10016527582786788,0.05008263791393394,0.03004958274836036,0.25709001233045625,1.0347789465742685,0,12
1000000000,0,0.05,0.10016527582786788,0.05008263791393394,0.03004958274836036,0.44944512946979037,1.0347789465742685,0,12
1000000000,10,0.01,0.09816527582786787,0.049082637913933934,0.029449582748360365,0.1029593094944513,1.0347789465742685,20,12
1000000000,10,0.03,0.09816527582786787,0.049082637913933934,0.029449582748360365,0.25709001233045625,1.0347789465742685,20,12
1000000000,10,0.05,0.09816527582786787,0.049082637913933934,0.029449582748360365,0.44944512946979037,1.0347789465742685,20,12
1000000000,30,0.01,0.09416527582786788,0.04708263791393394,0.028249582748360355,0.1029593094944513,1.0347789465742685,60,12
1000000000,30,0.03,0.09416527582786788,0.04708263791393394,0.028249582748360355,0.25709001233045625,1.0347789465742685,60,12
1000000000,30,0.05,0.09416527582786788,0.04708263791393394,0.028249582748360355,0.44944512946979037,1.0347789465742685,60,12
1000000000,50,0.01,0.09016527582786789,0.045082637913933944,0.027049582748360366,0.1029593094944513,1.0347789465742685,100,12
1000000000,50,0.03,0.09016527582786789,0.045082637913933944,0.027049582748360366,0.25709001233045625,1.0347789465742685,100,12
1000000000,50,0.05,0.09016527582786789,0.045082637913933944,0.027049582748360366,0.44944512946979037,1.0347789465742685,100,12
1000000000,100,0.01,0.0801652758278679,0.04008263791393395,0.024049582748360363,0.1029593094944513,1.0347789465742685,200,12
1000000000,100,0.03,0.0801652758278679,0.04008263791393395,0.024049582748360363,0.25709001233045625,1.0347789465742685,200,12
1000000000,100,0.05,0.0801652758278679,0.04008263791393395,0.024049582748360363,0.44944512946979037,1.0347789465742685,200,12
3000000000,0,0.01,0.10016527582786788,0.05008263791393394,0.03004958274836036,0.059186189889025895,3.1043368397228055,0,12
3000000000,0,0.03,0.10016527582786788,0.05008263791393394,0.03004958274836036,0.1029593094944513,3.1043368397228055,0,12
3000000000,0,0.05,0.10016527582786788,0.05008263791393394,0.03004958274836036,0.15536374845869297,3.1043368397228055,0,12
3000000000,10,0.01,0.09816527582786787,0.049082637913933934,0.029449582748360365,0.059186189889025895,3.1043368397228055,20,12
3000000000,10,0.03,0.09816527582786787,0.049082637913933934,0.029449582748360365,0.1029593094944513,3.1043368397228055,20,12
3000000000,10,0.05,0.09816527582786787,0.049082637913933934,0.029449582748360365,0.15536374845869297,3.1043368397228055,20,12
3000000000,30,0.01,0.09416527582786788,0.04708263791393394,0.028249582748360355,0.059186189889025895,3.1043368397228055,60,12
3000000000,30,0.03,0.09416527582786788,0.04708263791393394,0.028249582748360355,0.1029593094944513,3.1043368397228055,60,12
3000000000,30,0.05,0.09416527582786788,0.04708263791393394,0.028249582748360355,0.15536374845869297,3.1043368397228055,60,12
3000000000,50,0.01,0.09016527582786789,0.045082637913933944,0.027049582748360366,0.059186189889025895,3.1043368397228055,100,12
3000000000,50,0.03,0.09016527582786789,0.045082637913933944,0.027049582748360366,0.1029593094944513,3.1043368397228055,100,12
3000000000,50,0.05,0.09016527582786789,0.045082637913933944,0.027049582748360366,0.15536374845869297,3.1043368397228055,100,12
3000000000,100,0.01,0.0801652758278679,0.04008263791393395,0.024049582748360363,0.059186189889025895,3.1043368397228055,200,12
3000000000,100,0.03,0.0801652758278679,0.04008263791393395,0.024049582748360363,0.1029593094944513,3.1043368397228055,200,12
3000000000,100,0.05,0.0801652758278679,0.04008263791393395,0.024049582748360363,0.15536374845869297,3.1043368397228055,200,12
10000000000,0,0.01,0.10016527582786788,0.05008263791393394,0.03004958274836036,0.020345252774352653,10.347789465742684,0,12
10000000000,0,0.03,0.10016527582786788,0.05008263791393394,0.03004958274836036,0.05363748458692972,10.347789465742684,0,12
10000000000,0,0.05,0.10016527582786788,0.05008263791393394,0.03004958274836036,0.07768187422934648,10.347789465742684,0,12
10000000000,10,0.01,0.09816527582786787,0.049082637913933934,0.029449582748360365,0.020345252774352653,10.347789465742684,20,12
10000000000,10,0.03,0.09816527582786787,0.049082637913933934,0.029449582748360365,0.05363748458692972,10.347789465742684,20,12
10000000000,10,0.05,0.09816527582786787,0.049082637913933934,0.029449582748360365,0.07768187422934648,10.347789465742684,20,12
10000000000,30,0.01,0.09416527582786788,0.04708263791393394,0.028249582748360355,0.020345252774352653,10.347789465742684,60,12
10000000000,30,0.03,0.09416527582786788,0.04708263791393394,0.028249582748360355,0.05363748458692972,10.347789465742684,60,12
10000000000,30,0.05,0.09416527582786788,0.04708263791393394,0.028249582748360355,0.07768187422934648,10.347789465742684,60,12
10000000000,50,0.01,0.09016527582786789,0.045082637913933944,0.027049582748360366,0.020345252774352653,10.347789465742684,100,12
10000000000,50,0.03,0.09016527582786789,0.045082637913933944,0.027049582748360366,0.05363748458692972,10.347789465742684,100,12
10000000000,50,0.05,0.09016527582786789,0.045082637913933944,0.027049582748360366,0.07768187422934648,10.347789465742684,100,12
10000000000,100,0.01,0.0801652758278679,0.04008263791393395,0.024049582748360363,0.020345252774352653,10.347789465742684,200,12
10000000000,100,0.03,0.0801652758278679,0.04008263791393395,0.024049582748360363,0.05363748458692972,10.347789465742684,200,12
10000000000,100,0.05,0.0801652758278679,0.04008263791393395,0.024049582748360363,0.07768187422934648,10.347789465742684,200,12
